ym,Client,recovered,n
2026-01,Anthem SE,156626.54,2
2026-01,BCBS GA,110334.38,2
2026-01,BCBS NC,368126.525454545,32
2026-01,BCBSNCF_RX,16826.26,18
2026-01,BlueCross BlueShield South Carolina,152772.92,3
2026-01,CEN_RX,179486.31,70
2026-01,Carefirst Commercial,109538.26,2
2026-01,Cigna,609340.909090909,2
2026-01,Elevance,348113.636363636,1
2026-01,Elixir,-772.727272727,1
2026-01,Elixir Insurance,32962.97,8
2026-01,EmblemHealth,151253.22,17
2026-01,Empire,150947.69,2
2026-01,Excellus,192525.158181818,27
2026-01,GHI_RX,301173.83,27
2026-01,HIP_RX,324972.41,31
2026-01,HSS_RX,1193.9,1
2026-01,Health Alliance Plan,63661.05,4
2026-01,HealthSpring,2239840.03,33
2026-01,Medical Mutual of Ohio,3607.96,2
2026-01,NY State Health Insurance Plan,209463.9,8
2026-01,NYSHIP,265151.545454545,1
2026-01,OSCAR,169964.26,4
2026-01,OSC_RX,52054.55,7
2026-01,Tufts,5805.09,6
2026-01,Wellpoint Part D,1741629.45,5
2026-02,AETNA_CHK,6739.88,4
2026-02,AHP_RX,902978.51,311
2026-02,AHRP_RX,503499.35,224
2026-02,Aetna,3889891.522727273,52
2026-02,Anthem Central,5379.53,1
2026-02,Anthem Commercial Expansion,924444.59,3
2026-02,Anthem Retro Term Recovery Program,150.0,1
2026-02,Anthem SE,302430.39,2
2026-02,BCBS GA,103789.19,2
2026-02,BCBS NC,311952.958181818,37
2026-02,BCBSNCF_RX,31450.34,8
2026-02,BlueCross BlueShield South Carolina,139957.18,8
2026-02,Carefirst Commercial,62888.29,2
2026-02,Centene,856977.209090909,3
2026-02,Centene Fidelis,13834.12,1
2026-02,Cigna,219477.272727273,1
2026-02,EMBFAC_RX,77655.49,24
2026-02,Elevance,387909.090909091,1
2026-02,Elixir Insurance,128887.79,7
2026-02,EmblemHealth,67958.4,22
2026-02,Empire,83073.85,2
2026-02,Excellus,127414.8,29
2026-02,GHI_RX,258259.74,16
2026-02,HIP_RX,45007.32,3
2026-02,HSS_RX,2347.07,2
2026-02,Health Alliance Plan,14533.45,5
2026-02,HealthSpring,2336517.38,32
2026-02,MMOH_RX,2707.55,2
2026-02,Medical Mutual of Ohio,14426.2,2
2026-02,NY State Health Insurance Plan,358558.51,11
2026-02,NYSHIP,132575.772727273,1
2026-02,OSCAR,231832.53,5
2026-02,OSC_RX,15157.53,10
2026-02,Premera,900.61,1
2026-02,Tufts,-14286.12,3
2026-02,Wellcare,3887555.87,4
2026-02,Wellpoint Part D,910178.98,3
